timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.71899E+12,880,HTTP Request,200,OK,Thread Group 60 1-1,text,TRUE,,1712,12467,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,880,0,152,,814.95
1.71899E+12,748,HTTP Request,200,OK,Thread Group 60 1-2,text,TRUE,,1708,12955,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,748,0,84,,
1.71899E+12,824,HTTP Request,200,OK,Thread Group 60 1-3,text,TRUE,,1708,15364,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,823,0,128,,
1.71899E+12,742,HTTP Request,200,OK,Thread Group 60 1-4,text,TRUE,,1708,12641,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,742,0,97,,
1.71899E+12,765,HTTP Request,200,OK,Thread Group 60 1-5,text,TRUE,,1708,13811,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,765,0,112,,
1.71899E+12,802,HTTP Request,200,OK,Thread Group 60 1-6,text,TRUE,,1708,13440,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,801,0,110,,
1.71899E+12,805,HTTP Request,200,OK,Thread Group 60 1-7,text,TRUE,,1708,13585,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,805,0,124,,
1.71899E+12,826,HTTP Request,200,OK,Thread Group 60 1-8,text,TRUE,,1708,13541,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,826,0,150,,
1.71899E+12,803,HTTP Request,200,OK,Thread Group 60 1-9,text,TRUE,,1708,16305,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,803,0,135,,
1.71899E+12,770,HTTP Request,200,OK,Thread Group 60 1-10,text,TRUE,,1708,13735,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,770,0,104,,
1.71899E+12,758,HTTP Request,200,OK,Thread Group 60 1-11,text,TRUE,,1708,13090,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,758,0,124,,
1.71899E+12,756,HTTP Request,200,OK,Thread Group 60 1-12,text,TRUE,,1712,16400,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,756,0,94,,
1.71899E+12,748,HTTP Request,200,OK,Thread Group 60 1-13,text,TRUE,,1708,14579,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,748,0,95,,
1.71899E+12,800,HTTP Request,200,OK,Thread Group 60 1-14,text,TRUE,,1708,15319,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,800,0,91,,
1.71899E+12,771,HTTP Request,200,OK,Thread Group 60 1-15,text,TRUE,,1708,13199,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,771,0,99,,
1.71899E+12,892,HTTP Request,200,OK,Thread Group 60 1-16,text,TRUE,,1708,13720,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,892,0,224,,
1.71899E+12,997,HTTP Request,200,OK,Thread Group 60 1-17,text,TRUE,,1708,16620,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,997,0,265,,
1.71899E+12,820,HTTP Request,200,OK,Thread Group 60 1-18,text,TRUE,,1708,17067,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,820,0,102,,
1.71899E+12,838,HTTP Request,200,OK,Thread Group 60 1-19,text,TRUE,,1708,14079,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,838,0,134,,
1.71899E+12,788,HTTP Request,200,OK,Thread Group 60 1-20,text,TRUE,,1708,15716,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,788,0,112,,
1.71899E+12,1036,HTTP Request,200,OK,Thread Group 60 1-21,text,TRUE,,1708,14769,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1036,0,127,,
1.71899E+12,927,HTTP Request,200,OK,Thread Group 60 1-22,text,TRUE,,1712,15637,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,927,0,110,,
1.71899E+12,756,HTTP Request,200,OK,Thread Group 60 1-23,text,TRUE,,1708,11843,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,756,0,145,,
1.71899E+12,855,HTTP Request,200,OK,Thread Group 60 1-24,text,TRUE,,1708,13767,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,855,0,218,,
1.71899E+12,805,HTTP Request,200,OK,Thread Group 60 1-25,text,TRUE,,1708,17263,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,805,0,123,,
