timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.72E+12,755,HTTP Request,200,OK,Thread Group 120 1-1,text,TRUE,,1712,12470,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,755,0,127,,838.9
1.72E+12,828,HTTP Request,200,OK,Thread Group 120 1-2,text,TRUE,,1708,12946,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,828,0,205,,
1.72E+12,874,HTTP Request,200,OK,Thread Group 120 1-3,text,TRUE,,1708,15364,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,874,0,121,,
1.72E+12,912,HTTP Request,200,OK,Thread Group 120 1-4,text,TRUE,,1708,12641,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,912,0,131,,
1.72E+12,956,HTTP Request,200,OK,Thread Group 120 1-5,text,TRUE,,1708,13814,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,956,0,123,,
1.72E+12,970,HTTP Request,200,OK,Thread Group 120 1-6,text,TRUE,,1708,13440,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,970,0,118,,
1.72E+12,1001,HTTP Request,200,OK,Thread Group 120 1-7,text,TRUE,,1708,13573,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1001,0,91,,
1.72E+12,1016,HTTP Request,200,OK,Thread Group 120 1-8,text,TRUE,,1708,13526,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1016,0,104,,
1.72E+12,1027,HTTP Request,200,OK,Thread Group 120 1-9,text,TRUE,,1708,16299,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1027,0,270,,
1.72E+12,1049,HTTP Request,200,OK,Thread Group 120 1-10,text,TRUE,,1708,13729,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1049,0,96,,
1.72E+12,1008,HTTP Request,200,OK,Thread Group 120 1-11,text,TRUE,,1708,13075,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1007,0,111,,
1.72E+12,802,HTTP Request,200,OK,Thread Group 120 1-12,text,TRUE,,1712,16394,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,802,0,116,,
1.72E+12,758,HTTP Request,200,OK,Thread Group 120 1-13,text,TRUE,,1708,14582,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,758,0,100,,
1.72E+12,768,HTTP Request,200,OK,Thread Group 120 1-14,text,TRUE,,1708,15322,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,768,0,106,,
1.72E+12,763,HTTP Request,200,OK,Thread Group 120 1-15,text,TRUE,,1708,13193,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,763,0,123,,
1.72E+12,679,HTTP Request,200,OK,Thread Group 120 1-16,text,TRUE,,1708,13744,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,679,0,96,,
1.72E+12,754,HTTP Request,200,OK,Thread Group 120 1-17,text,TRUE,,1708,16629,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,754,0,146,,
1.72E+12,757,HTTP Request,200,OK,Thread Group 120 1-18,text,TRUE,,1708,17073,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,757,0,130,,
1.72E+12,736,HTTP Request,200,OK,Thread Group 120 1-19,text,TRUE,,1708,14070,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,735,0,111,,
1.72E+12,754,HTTP Request,200,OK,Thread Group 120 1-20,text,TRUE,,1708,15707,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,754,0,126,,
1.72E+12,972,HTTP Request,200,OK,Thread Group 120 1-21,text,TRUE,,1712,14784,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,972,0,118,,
1.72E+12,674,HTTP Request,200,OK,Thread Group 120 1-23,text,TRUE,,1708,11825,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,674,0,91,,
1.72E+12,771,HTTP Request,200,OK,Thread Group 120 1-24,text,TRUE,,1708,13770,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,771,0,138,,
1.72E+12,846,HTTP Request,200,OK,Thread Group 120 1-25,text,TRUE,,1708,17278,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,846,0,108,,
1.72E+12,922,HTTP Request,200,OK,Thread Group 120 1-26,text,TRUE,,1708,14368,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,922,0,112,,
1.72E+12,953,HTTP Request,200,OK,Thread Group 120 1-27,text,TRUE,,1708,8917,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,953,0,150,,
1.72E+12,1005,HTTP Request,200,OK,Thread Group 120 1-28,text,TRUE,,1708,16913,4,4,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1005,0,109,,
1.72E+12,1091,HTTP Request,200,OK,Thread Group 120 1-29,text,TRUE,,1708,17233,4,4,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1089,0,130,,
1.72E+12,1611,HTTP Request,200,OK,Thread Group 120 1-22,text,TRUE,,1708,15628,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1611,0,159,,
1.72E+12,1240,HTTP Request,200,OK,Thread Group 120 1-30,text,TRUE,,1708,15903,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1240,0,125,,
1.72E+12,797,HTTP Request,200,OK,Thread Group 120 1-31,text,TRUE,,1708,12409,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,797,0,134,,
1.72E+12,892,HTTP Request,200,OK,Thread Group 120 1-32,text,TRUE,,1708,8440,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,892,0,245,,
1.72E+12,771,HTTP Request,200,OK,Thread Group 120 1-33,text,TRUE,,1708,15598,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,771,0,107,,
1.72E+12,884,HTTP Request,200,OK,Thread Group 120 1-34,text,TRUE,,1708,14235,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,884,0,245,,
1.72E+12,1020,HTTP Request,200,OK,Thread Group 120 1-35,text,TRUE,,1712,14099,3,3,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1020,0,126,,
1.72E+12,872,HTTP Request,200,OK,Thread Group 120 1-36,text,TRUE,,1708,15790,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,872,0,199,,
1.72E+12,819,HTTP Request,200,OK,Thread Group 120 1-37,text,TRUE,,1708,17332,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,819,0,109,,
1.72E+12,748,HTTP Request,200,OK,Thread Group 120 1-38,text,TRUE,,1708,12794,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,748,0,134,,
1.72E+12,737,HTTP Request,200,OK,Thread Group 120 1-39,text,TRUE,,1708,13015,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,737,0,125,,
1.72E+12,692,HTTP Request,200,OK,Thread Group 120 1-40,text,TRUE,,1708,12158,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,692,0,102,,
1.72E+12,658,HTTP Request,200,OK,Thread Group 120 1-41,text,TRUE,,1708,12376,2,2,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,658,0,88,,
