timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.71899E+12,847,HTTP Request,200,OK,Thread Group 30 1-1,text,TRUE,,1712,12461,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,847,0,230,,796.3666667
1.71899E+12,730,HTTP Request,200,OK,Thread Group 30 1-2,text,TRUE,,1708,12949,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,730,0,109,,
1.71899E+12,742,HTTP Request,200,OK,Thread Group 30 1-3,text,TRUE,,1708,15379,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,742,0,120,,
1.71899E+12,832,HTTP Request,200,OK,Thread Group 30 1-4,text,TRUE,,1708,12656,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,832,0,141,,
1.71899E+12,781,HTTP Request,200,OK,Thread Group 30 1-5,text,TRUE,,1708,13793,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,780,0,134,,
1.71899E+12,759,HTTP Request,200,OK,Thread Group 30 1-6,text,TRUE,,1708,13437,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,759,0,111,,
1.71899E+12,764,HTTP Request,200,OK,Thread Group 30 1-7,text,TRUE,,1712,13588,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,763,0,112,,
1.71899E+12,730,HTTP Request,200,OK,Thread Group 30 1-8,text,TRUE,,1708,13535,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,730,0,105,,
1.71899E+12,786,HTTP Request,200,OK,Thread Group 30 1-9,text,TRUE,,1708,16326,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,786,0,153,,
1.71899E+12,736,HTTP Request,200,OK,Thread Group 30 1-10,text,TRUE,,1708,13741,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,736,0,129,,
1.71899E+12,717,HTTP Request,200,OK,Thread Group 30 1-11,text,TRUE,,1708,13066,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,716,0,107,,
1.71899E+12,845,HTTP Request,200,OK,Thread Group 30 1-12,text,TRUE,,1712,16379,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,845,0,120,,
1.71899E+12,775,HTTP Request,200,OK,Thread Group 30 1-13,text,TRUE,,1708,14606,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,775,0,124,,
1.71899E+12,736,HTTP Request,200,OK,Thread Group 30 1-14,text,TRUE,,1708,15331,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,736,0,134,,
1.71899E+12,744,HTTP Request,200,OK,Thread Group 30 1-15,text,TRUE,,1708,13199,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,744,0,129,,
1.71899E+12,876,HTTP Request,200,OK,Thread Group 30 1-16,text,TRUE,,1708,13741,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,876,0,119,,
1.71899E+12,771,HTTP Request,200,OK,Thread Group 30 1-17,text,TRUE,,1708,16623,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,771,0,125,,
1.71899E+12,1026,HTTP Request,200,OK,Thread Group 30 1-18,text,TRUE,,1712,17076,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1026,0,117,,
1.71899E+12,734,HTTP Request,200,OK,Thread Group 30 1-19,text,TRUE,,1708,14070,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,726,0,110,,
1.71899E+12,858,HTTP Request,200,OK,Thread Group 30 1-20,text,TRUE,,1708,15701,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,858,0,179,,
1.71899E+12,1138,HTTP Request,200,OK,Thread Group 30 1-21,text,TRUE,,1708,14784,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,1137,0,269,,
1.71899E+12,737,HTTP Request,200,OK,Thread Group 30 1-22,text,TRUE,,1708,15622,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,737,0,109,,
1.71899E+12,783,HTTP Request,200,OK,Thread Group 30 1-23,text,TRUE,,1708,11819,1,1,https://skripsi-arcface-psp6a4cyiq-et.a.run.app/upload,783,0,133,,
