timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718986213807,655,HTTP Request,200,OK,Thread Group 60 1-1,text,true,,1712,12467,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,655,0,133
1718986214806,630,HTTP Request,200,OK,Thread Group 60 1-2,text,true,,1708,12946,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,630,0,123
1718986215802,644,HTTP Request,200,OK,Thread Group 60 1-3,text,true,,1708,15382,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,644,0,125
1718986216801,603,HTTP Request,200,OK,Thread Group 60 1-4,text,true,,1708,12629,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,603,0,120
1718986217809,671,HTTP Request,200,OK,Thread Group 60 1-5,text,true,,1708,13808,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,671,0,137
1718986218800,656,HTTP Request,200,OK,Thread Group 60 1-6,text,true,,1708,13452,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,656,0,146
1718986219800,671,HTTP Request,200,OK,Thread Group 60 1-7,text,true,,1708,13564,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,671,0,138
1718986220806,761,HTTP Request,200,OK,Thread Group 60 1-8,text,true,,1708,13535,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,761,0,254
1718986221802,649,HTTP Request,200,OK,Thread Group 60 1-9,text,true,,1708,16317,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,649,0,123
1718986223802,636,HTTP Request,200,OK,Thread Group 60 1-11,text,true,,1708,13066,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,636,0,149
1718986222802,2005,HTTP Request,200,OK,Thread Group 60 1-10,text,true,,1712,13735,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,2004,0,125
1718986224802,667,HTTP Request,200,OK,Thread Group 60 1-12,text,true,,1708,16397,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,667,0,126
