timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718987456810,618,HTTP Request,200,OK,Thread Group 180 1-144,text,true,,1708,10792,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,618,0,129
1718987457143,622,HTTP Request,200,OK,Thread Group 180 1-145,text,true,,1708,10996,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,622,0,143
1718987457476,673,HTTP Request,200,OK,Thread Group 180 1-146,text,true,,1708,15789,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,673,0,130
1718987457809,627,HTTP Request,200,OK,Thread Group 180 1-147,text,true,,1708,14213,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,627,0,132
1718987458142,629,HTTP Request,200,OK,Thread Group 180 1-148,text,true,,1708,13400,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,629,0,114
1718987458475,600,HTTP Request,200,OK,Thread Group 180 1-149,text,true,,1708,13085,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,600,0,116
1718987458809,623,HTTP Request,200,OK,Thread Group 180 1-150,text,true,,1708,17384,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,623,0,135
1718987459142,646,HTTP Request,200,OK,Thread Group 180 1-151,text,true,,1708,18304,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,646,0,127
1718987459475,737,HTTP Request,200,OK,Thread Group 180 1-152,text,true,,1708,15727,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,737,0,180
1718987459808,631,HTTP Request,200,OK,Thread Group 180 1-153,text,true,,1708,12079,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,631,0,128
1718987460141,645,HTTP Request,200,OK,Thread Group 180 1-154,text,true,,1712,10533,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,645,0,135
1718987460475,638,HTTP Request,200,OK,Thread Group 180 1-155,text,true,,1708,13995,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,638,0,133
1718987460808,1049,HTTP Request,200,OK,Thread Group 180 1-156,text,true,,1708,20670,4,4,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,1049,0,175
1718987461141,726,HTTP Request,200,OK,Thread Group 180 1-157,text,true,,1708,18174,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,726,0,217
1718987461473,600,HTTP Request,200,OK,Thread Group 180 1-158,text,true,,1708,13250,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,600,0,125
1718987461806,667,HTTP Request,200,OK,Thread Group 180 1-159,text,true,,1708,16888,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,667,0,133
1718987462139,659,HTTP Request,200,OK,Thread Group 180 1-160,text,true,,1708,15664,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,659,0,123
1718987462472,635,HTTP Request,200,OK,Thread Group 180 1-161,text,true,,1708,17196,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,635,0,131
1718987462805,681,HTTP Request,200,OK,Thread Group 180 1-162,text,true,,1708,14822,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,681,0,119
1718987463138,669,HTTP Request,200,OK,Thread Group 180 1-163,text,true,,1708,17259,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,669,0,119
1718987463470,640,HTTP Request,200,OK,Thread Group 180 1-164,text,true,,1708,11420,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,640,0,132
