timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718979026126,798,HTTP Request,200,OK,Thread Group 120 1-37,text,true,,1708,17307,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,797,0,112
1718979026625,732,HTTP Request,200,OK,Thread Group 120 1-38,text,true,,1708,12778,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,732,0,138
1718979027126,749,HTTP Request,200,OK,Thread Group 120 1-39,text,true,,1708,13029,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,749,0,125
1718979027625,688,HTTP Request,200,OK,Thread Group 120 1-40,text,true,,1708,12139,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,688,0,115
1718979028125,822,HTTP Request,200,OK,Thread Group 120 1-41,text,true,,1708,12354,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,822,0,174
1718979028628,728,HTTP Request,200,OK,Thread Group 120 1-42,text,true,,1712,14151,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,728,0,127
1718979029130,755,HTTP Request,200,OK,Thread Group 120 1-43,text,true,,1708,13503,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,755,0,120
1718979029625,705,HTTP Request,200,OK,Thread Group 120 1-44,text,true,,1708,14449,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,704,0,114
1718979030126,737,HTTP Request,200,OK,Thread Group 120 1-45,text,true,,1708,12639,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,736,0,117
1718979030626,698,HTTP Request,200,OK,Thread Group 120 1-46,text,true,,1708,13128,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,698,0,101
1718979031126,1022,HTTP Request,200,OK,Thread Group 120 1-47,text,true,,1708,17960,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,1020,0,142
1718979031625,772,HTTP Request,200,OK,Thread Group 120 1-48,text,true,,1708,16393,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,772,0,116
1718979032126,798,HTTP Request,200,OK,Thread Group 120 1-49,text,true,,1708,14499,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,798,0,132
1718979032626,799,HTTP Request,200,OK,Thread Group 120 1-50,text,true,,1708,16899,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,799,0,190
1718979033126,773,HTTP Request,200,OK,Thread Group 120 1-51,text,true,,1708,15088,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,773,0,124
1718979033625,745,HTTP Request,200,OK,Thread Group 120 1-52,text,true,,1708,13571,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,745,0,115
1718979034125,897,HTTP Request,200,OK,Thread Group 120 1-53,text,true,,1708,16984,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,897,0,155
1718979034625,799,HTTP Request,200,OK,Thread Group 120 1-54,text,true,,1708,14086,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,793,0,143
1718979035125,834,HTTP Request,200,OK,Thread Group 120 1-55,text,true,,1708,18547,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,824,0,201
1718979036125,795,HTTP Request,200,OK,Thread Group 120 1-57,text,true,,1708,18597,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,795,0,133
1718979036625,819,HTTP Request,200,OK,Thread Group 120 1-58,text,true,,1708,16029,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,819,0,135
1718979037125,812,HTTP Request,200,OK,Thread Group 120 1-59,text,true,,1708,17282,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,812,0,124
1718979037625,855,HTTP Request,200,OK,Thread Group 120 1-60,text,true,,1708,12820,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,855,0,136
1718979038125,751,HTTP Request,200,OK,Thread Group 120 1-61,text,true,,1708,13462,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,751,0,127
1718979038625,799,HTTP Request,200,OK,Thread Group 120 1-62,text,true,,1712,16031,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,799,0,133
1718979039127,738,HTTP Request,200,OK,Thread Group 120 1-63,text,true,,1708,12761,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,737,0,123
1718979039625,1050,HTTP Request,200,OK,Thread Group 120 1-64,text,true,,1708,15155,4,4,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,1050,0,156
1718979040125,838,HTTP Request,200,OK,Thread Group 120 1-65,text,true,,1708,15302,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,838,0,136
1718979040625,705,HTTP Request,200,OK,Thread Group 120 1-66,text,true,,1708,14346,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,705,0,148
1718979041124,805,HTTP Request,200,OK,Thread Group 120 1-67,text,true,,1708,14351,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,804,0,149
