timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,latency average
1.71898E+12,850,HTTP Request,200,OK,Thread Group 30 1-1,text,TRUE,,1712,12475,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,850,0,267,,770.5333333
1.71898E+12,773,HTTP Request,200,OK,Thread Group 30 1-2,text,TRUE,,1708,12942,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,773,0,128,,
1.71898E+12,757,HTTP Request,200,OK,Thread Group 30 1-3,text,TRUE,,1708,15366,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,757,0,126,,
1.71898E+12,747,HTTP Request,200,OK,Thread Group 30 1-4,text,TRUE,,1708,12649,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,747,0,104,,
1.71898E+12,754,HTTP Request,200,OK,Thread Group 30 1-5,text,TRUE,,1708,13783,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,754,0,128,,
1.71898E+12,788,HTTP Request,200,OK,Thread Group 30 1-6,text,TRUE,,1708,13445,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,787,0,135,,
1.71898E+12,751,HTTP Request,200,OK,Thread Group 30 1-7,text,TRUE,,1712,13575,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,751,0,124,,
1.71898E+12,759,HTTP Request,200,OK,Thread Group 30 1-8,text,TRUE,,1708,13507,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,759,0,118,,
1.71898E+12,758,HTTP Request,200,OK,Thread Group 30 1-9,text,TRUE,,1708,16319,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,758,0,127,,
1.71898E+12,751,HTTP Request,200,OK,Thread Group 30 1-10,text,TRUE,,1708,13731,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,751,0,118,,
1.71898E+12,712,HTTP Request,200,OK,Thread Group 30 1-11,text,TRUE,,1708,13059,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,711,0,120,,
1.71898E+12,721,HTTP Request,200,OK,Thread Group 30 1-12,text,TRUE,,1712,16390,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,721,0,130,,
1.71898E+12,861,HTTP Request,200,OK,Thread Group 30 1-13,text,TRUE,,1708,14593,1,1,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,861,0,125,,
