timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718978707031,710,HTTP Request,200,OK,Thread Group 90 1-1,text,true,,1712,12478,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,710,0,120
1718978707698,980,HTTP Request,200,OK,Thread Group 90 1-2,text,true,,1708,12942,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,980,0,130
1718978708365,911,HTTP Request,200,OK,Thread Group 90 1-3,text,true,,1708,15351,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,911,0,128
1718978709032,820,HTTP Request,200,OK,Thread Group 90 1-4,text,true,,1708,12649,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,818,0,249
1718978709699,764,HTTP Request,200,OK,Thread Group 90 1-5,text,true,,1708,13792,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,763,0,111
1718978710365,775,HTTP Request,200,OK,Thread Group 90 1-6,text,true,,1708,13448,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,775,0,259
1718978711033,784,HTTP Request,200,OK,Thread Group 90 1-7,text,true,,1708,13560,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,784,0,153
1718978711699,812,HTTP Request,200,OK,Thread Group 90 1-8,text,true,,1708,13522,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,812,0,198
1718978712366,801,HTTP Request,200,OK,Thread Group 90 1-9,text,true,,1708,16322,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,801,0,129
1718978713033,732,HTTP Request,200,OK,Thread Group 90 1-10,text,true,,1708,13734,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,732,0,140
1718978713700,705,HTTP Request,200,OK,Thread Group 90 1-11,text,true,,1708,13065,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,705,0,132
1718978714366,762,HTTP Request,200,OK,Thread Group 90 1-12,text,true,,1708,16381,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,762,0,130
1718978715035,820,HTTP Request,200,OK,Thread Group 90 1-13,text,true,,1708,14572,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,820,0,137
1718978715702,823,HTTP Request,200,OK,Thread Group 90 1-14,text,true,,1708,15312,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,823,0,134
1718978716369,816,HTTP Request,200,OK,Thread Group 90 1-15,text,true,,1708,13186,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,816,0,123
1718978717035,721,HTTP Request,200,OK,Thread Group 90 1-16,text,true,,1712,13731,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,721,0,152
1718978717702,755,HTTP Request,200,OK,Thread Group 90 1-17,text,true,,1708,16616,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,755,0,130
1718978718370,670,HTTP Request,200,OK,Thread Group 90 1-18,text,true,,1708,17060,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,670,0,124
1718978719038,724,HTTP Request,200,OK,Thread Group 90 1-19,text,true,,1708,14069,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,724,0,100
1718978719705,748,HTTP Request,200,OK,Thread Group 90 1-20,text,true,,1708,15691,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,748,0,118
1718978720375,982,HTTP Request,200,OK,Thread Group 90 1-21,text,true,,1708,14777,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,982,0,116
1718978721706,938,HTTP Request,200,OK,Thread Group 90 1-23,text,true,,1708,11818,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,938,0,98
1718978722371,890,HTTP Request,200,OK,Thread Group 90 1-24,text,true,,1708,13745,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,886,0,270
1718978723039,812,HTTP Request,200,OK,Thread Group 90 1-25,text,true,,1708,17256,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,812,0,131
1718978723706,739,HTTP Request,200,OK,Thread Group 90 1-26,text,true,,1708,14388,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,739,0,118
1718978724372,2121,HTTP Request,200,OK,Thread Group 90 1-27,text,true,,1708,8898,5,5,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,2121,0,103
1718978725707,1393,HTTP Request,200,OK,Thread Group 90 1-29,text,true,,1708,17226,5,5,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,1393,0,272
1718978725041,2565,HTTP Request,200,OK,Thread Group 90 1-28,text,true,,1708,16909,4,4,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,2565,0,1130
1718978726375,1729,HTTP Request,200,OK,Thread Group 90 1-30,text,true,,1708,15899,4,4,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,1729,0,96
1718978727042,1512,HTTP Request,200,OK,Thread Group 90 1-31,text,true,,1708,12411,4,4,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,1512,0,132
1718978727709,1402,HTTP Request,200,OK,Thread Group 90 1-32,text,true,,1712,8457,4,4,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,1399,0,116
1718978721039,8308,HTTP Request,200,OK,Thread Group 90 1-22,text,true,,1708,15633,3,3,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,8308,0,104
1718978728375,1283,HTTP Request,200,OK,Thread Group 90 1-33,text,true,,1708,15609,2,2,https://skripsi-vgg-psp6a4cyiq-et.a.run.app/upload,1283,0,117
